Profession	Text
Preschool teacher	"Sick leave since Easter 2017. That day I couldn't find home. Called my husband in a panic. Cried
continuously. Anxiety. Insomnia. Then the tears stopped and the anxiety took over. My memory
disappeared. Barely recognized my children. I saw they were talking to me but I couldn't
understand the words. We then had almost 20 children in 4 part-time jobs. Colleagues who quit. Pressed
work environment with many children in need of support and NO resources. The manager quit and no one
was there to safely lead us forward. We did everything so that the children would not notice the chaos
as we experienced as staff. The municipality required us to write our documentation. Page
up and side down. I would be the supervisor of a student who did an internship on his own
workplace. On the last day, I wrote her evaluation. When I shut down the computer it happened
black. Which car is mine? Where do I live? How did I get home? Today I work 15 hours
the week. The orc does not exist. The insurance company is breathing down my neck. The job as well. Must come
back quickly or you will have to be relocated. The anxiety is there. Life is not the same and
will never be. I fall and don't know how to get up. Who thanks me? No."
Preschool teacher	"The temporary worker shortage feels very stressful at times. I work at a rural preschool and that
seems to be more difficult to get substitutes there. Many also do not have a driver's license. What should we do with it?
the day those who are pensioners but don't work as temporary workers can't take it anymore?! Not having enough
planning time is also a stressful moment, we are only three preschool teachers out of seven employees at my centre
Job. Then we preschool teachers need more planning time to get everything done as we should
do. Instead of having to put things off until next week. Invest more in us preschool teachers
or hire more preschool teachers! So we who are preschool teachers can go home from work and think:
today has been a good working day. I managed to get what I needed."
Preschool teacher	"When I get home in the evening, my tinnitus reminds me. I sit exhausted on the sofa
while my fortunately equal husband both takes care of the children and prepares the food. No musts
cope with and when it's time to put the children to bed, I fall asleep first of all.
Nevertheless, I am one of those who love this job. We are getting fewer and fewer, it feels like, but like
preschool teachers you constantly learn new things, meet new personalities and make a difference! Do
difference... That's what I dreamed of when I went into this. Getting to meet each child, get them
to feel loved for who they are and open a world of possibilities to them. But it will be
never quite like that. My colleagues are on sick leave, it's stomach bug no. 3, flu, autumn blisters,
fever cold no. 43, migraines from stress, pressure and high noise levels and right what it is takes
run out of energy with one more person walking into the wall. It is difficult to find a substitute with
appropriate education. That meeting each child will have to wait... again. Now it's like that
many times to get through the day. The children's development potential and self-esteem get
we take another day. Because it wasn't that important anyway, was it?"
Preschool teacher	"Works at a preschool with 40 children in the department and 9 teachers. We share during the days
into smaller groups. After a tough autumn with 2 educators who have largely been gone
one or more days each week throughout the autumn, due to various illnesses and a teacher
long-term sick leave, it has led to me being left alone in our smaller group of 14
pieces 2-3 year olds. This is because 2 of the teachers who were ill were with me in my group.
I have been sitting alone with our action plan and have not been able to carry out any activities
in 3 months but it has been pure storage of children aged 2-3 years. This group was one
safe children's group at the start last autumn, but unfortunately became more and more insecure when there were new ones
substitutes if there was any substitute available at all. One child was very sensitive
for new people and panicked when new faces arrived. The child just cried and cried, which
made me sit down to comfort this child while I had 13 more children to cater to
group, because I was their security regarding diaper changes, potty training, toilet training. Be on
road and crash into the infamous wall as I forgot things on several occasions, had a hard time
to sleep and experienced heart palpitations when I was going to sleep. My salvation in this was that I
got to stay home and babysit with my youngest child for a few days."
Preschool teacher	"I have a long-term substitute in my smaller group who is on sick leave for 1 month. The substitute has been
sick a lot throughout the autumn and it has continued in the same way. She is employed until the end
March and shall possibly get extended until the end of June. I have pointed this out to the manager, that I do not believe
sustainable, as I know that I will be alone in my group at least every two weeks. This is because I
has another teacher who put in a system to be at home every two weeks since she started 1 year ago
back. When she comes back, the children are insecure and anxious, they haven't had a good one
attachment to her due to her only being present every two weeks. It causes
that I get to take care of all 14 children when they come to me. Also had both my colleagues
gone when we had schooling. No support could be given from the others in my work team, then they
had their groups.
This made me feel powerless. The child and the parents did not get a good start, then I
couldn't get involved as we should in schooling. It was difficult when I had
conflict resolution, insecure children, diaper changes, toilet training and more. Had trouble sleeping now
again due to heart palpitations. I was dull and ready to cry. Talked to the boss that now I'm starting
show signs of going back into the wall. She then said they would talk to my
colleague who is a preschool teacher, but nothing more has been done and she is still at home
biweekly. I cried when I went to work. It doesn't feel motivating to go to work, then
I know that the work I do will be pure storage and no educational activity. Now it feels
as if I'm going to be able to get better, it's ME who has to change workplaces and not them
the person who is away all the time, when the boss doesn't hear anything."
Preschool teacher	"What probably gave me the most stress is that I love my profession. I'm really passionate about that
work with just the little ones.
I started in a new municipality when I was pregnant. One with few educated, many
long-term sick leave, and many on their way back from sick leave.
Before that, I had worked with educated people with great commitment, so it became a new reality
for me. After four months I just wanted to cry. By then I had worked with so many
uneducated substitutes that I had lost count and could barely care, because I could
not putting more energy into being “accommodating and taking care of the temps the way they want to be
left"", when the children have to go first. The children that I wanted to be there for, provide security and a
curiosity about life and everything there is to discover! And so many substitutes who have none
knowledge of children at all, who do not even like children, with a child's view that can still give
me palpable anxiety! Where I had to contact the manager because such individuals cannot
work with children. But they exist in children's groups, and knowingly and unknowingly offend children.
And as an educated person with a bleeding heart, you fight for the children to even have kind words
their daily stay, which they themselves are so exposed to... And to work with long-term temporary workers, who
refuses to read the curriculum, attend training courses, refuses to take in anything that applies to young children,
but still one should have an everyday life filled with care and security, it is difficult. And it cuts
the heart of not even being able to work as you want as department manager for your children's group. For
the economy does not exist to give me educated colleagues who also think of the best interests of the children. For
they have already broken... And soon me too. And who is there then to protect the children
against a harmful approach and a childish view from the 20s?"
Preschool teacher	"I graduated in June this year, and as I longed for the 3.5 years to finally start
work with the best we have - our children, our future! But I already feel a great concern about
the future. I started working at a preschool where pedagogy was barely on the map. I
thus began to work in another municipality with a higher salary, work clothes, 90% of
the staff are preschool teachers and the preschool is relatively newly built. The problem is that bright, fresh
and open does not automatically mean premises that work well for the preschool. The premises are
far too small and we have no opportunity to divide the children's group during the day. I am working
with the youngest children, there are 14 children and 3 teachers. The children get into conflicts when we in
principle stand on top of each other and mornings and afternoons we team up with
neighborhood department. We are therefore basically a constant 13-17 children. The pace never slows down and
all meals are eaten in a dining room - which gives an even higher noise level as there are about four departments
who eat at the same time. How will I be able to move up to full-time? Right now I work less to get
more time with my child, but despite fewer hours and finally having a schedule
Unfortunately, planning time does not help. At preschool, we think that we are trying to get through the day
and when I get home, I have far from the energy I wanted to spend time with mine
own children. We barely manage to make sure the children are safe, seen, fed, clean and rested.
How can we work based on the curriculum in this chaos? How can we offer it to the children?
business they deserve?"
Head of the preschool district	"I get both sad and furiously angry when I read all the stories!! Have worked in
preschool since 1979 and have not for one day regretted my career choice! Just like many before me
has spoken; it IS the best job in the world! But unfortunately the politicians have not understood what it is
is about and has given us the worst conditions in the world!! We are the ones who pave the way for that
the future. We lead and humbly show the way to the fantastic conditions life offers.
We are always by the children's side and would rather sacrifice our own health than let the children down. As I see
it is precisely this that has led to today's situation.
The politicians have taken advantage of our solidarity and our loyalty towards both children and parents. It does
It pains me to see Sweden's fine preschool in free fall and everything we have built falls like a house of cards!
Can't take part in more stories where talented educators give up and go home because
a sick work environment! All avenues have been tried but no one has listened. We who manage the future
have an obligation to continue to stand by the children. Who will prosecute their case if not us who
always been there? There is only one way out and that is to strike. A single day and Sweden
Would have stayed. We must once and for all realize that everything has a price. That's enough now. Let 2018 go
history as the year when we educators stood up and made the case for the children. The year we went
together for a better future. There are elections soon and now we have the chance."""
Preschool teacher	"Works at a private preschool in a children's group with children 1-2 years old. We are three full-time employees out of 17
children. Every day we work to row an educational activity, to work according to the goals, to follow
laws and regulations while the children have a rewarding day at preschool. Instead, it feels like us
stores the children and ""gates"" them between activities. I go home every day with a feeling that
I haven't seen all the children and haven't had time to talk to the parents. Sometimes I shed a tear
inadequacy when I get in the car on the way from work. I wish that the zeal and joy I
had for my job during and after preschool education came back! Because really
I love my job!"
Preschool teacher	"After four months in a new place, I gave up. We were promised 5-6 hours of planning a week;
individual planning, in work teams and in reflection groups. The entire preschool included seven
departments. Six departments were located in the same building and would cooperate two by two. On
two departments with 16 children between 1 and 3 years in each group we would work 8. 3 i
each work team plus two in addition, an educator to cover everyone's days off then almost we
everyone worked 80% and a teacher to cover in case of illness and etc. Dream mode I thought.
I barely had time to start before a colleague in the other department was on sick leave. Throughout the house
disappeared, during these four months I worked there, four colleagues on sick leave, six
some resigned. Our colleague who was supposed to cover our days off was transferred to one
completely different department at the preschool. Our 8th employee who would support in case of illness
had to go in on our days off, which meant that there would be two of us in one department, three in another
Other. Sometimes, however, she was sent away to another department to support and we were
then two staff on each side. In case of illness or illness, there were also two of us in each ward.
There were no substitutes. At the end of the semester, however, we got a colleague in the department next door. We
had enrollments constantly, instead of placing all children in at the beginning of the term they came
continuously throughout the course of the semester. We never managed to get a group feeling or start working
with a planned activity according to theme as we constantly had to put it on hold to receive
new enrollment. The positive thing about it, however, was that we were not a full children's group with so few staff
when some children were placed from November or December. The plan never came off,
a lot depending on the fact that all the planning was baked into the schedule and you had to leave your group
in the middle of the day. Preschools I worked at in the past have had planning time outside the schedule, that
sit with before or after work in the children's group, partly so as not to disturb the educational work
in the middle of the day, partly to really make the most of their planning time. During these four months I
worked at the preschool, I was given individual planning once, for an hour and a half. I sat
me often on my own on my breaks to get something done so we could start something up
kind of work. During these four months, we received work team planning three times. We could
not leave our ongoing enrollments plus all the other children of our two colleagues on
the department next door as they were busy with their own group and their own enrollments.
Failure to plan also results in failure of educational activities in the group. Under these
four months, we were able to sit on our reflection time twice, but in the name of honesty, we did
not much to reflect on as we never had time to get planning out. I left preschool for
to try other educational activities instead"
Preschool teacher	"In my children's group there are 2 preschool teachers (100% and 75%) and 1 uneducated (50%). It works
when we have a maximum of 10 children but with the entire group of children in place, it is difficult. We have the biggest
children's group between 9 a.m. and 2 p.m., Monday-Thursday. In the children's group, we have 2 children that we receive support for
and advice from a special education teacher. It is difficult to have enough for 14 3-4 year olds. Most of them don't talk
Swedish and needs a lot of support with interaction and language. We have our business in a module
since 6.5 years ago, it is not adapted to the children's group. One large room, two small, one small cramped
hall, blockage in the drain sometimes, poor ventilation. Before Christmas it was 17 degrees indoors. Ours
working schedule has been changed for more time from the children's group, something that creates bad
work environment and many are looking for another job."
Preschool teacher	"For four years I have worked as a trained preschool teacher, but even now I am trying to make plans
for what I should do if the career choice doesn't work.
Works with children aged 3-5 and in a, as I understand it, relatively small children's group of 20 children
with 2.75 in staffing. Love my job and my colleagues and don't really want to change careers
in life but realize that it may become necessary for my own survival. Increased demands on
administrative tasks mean that the days are an eternal puzzle to cover up
the group of children, who in turn become increasingly anxious, stressed and insecure. The workload becomes
also enormous when no account is taken of which children are in the children's group when children with
the need for extra support seems to be increasing, probably as a result of the above factors. The
The downward spiral is underway and major changes must be made NOW if society is not to stand
facing a collapse. When the preschool stops, Sweden stops."
Preschool teacher	"I see daily how the children are affected by the large groups of children. Today, the children are more
loud, unfocused, in need of more validation than they were X number of years ago. I
have several colleagues who are on sick leave due to stress. I have been too. What kind of start is it in?
the life we ??give them when we can't get enough. The children are our future. Let's give them a safe start.
Smaller groups = more present and happy pedagogues who have the energy to run the business accordingly
the goals."
Preschool teacher	"So that I, as a preschool teacher, can meet children's needs and goals, as well as guidelines such as
placed upon us, something must happen quickly! Tired of babysitting, want to use mine
knowledge and being able to see the children develop into wonderful people with empathy for each other.
Should four years of study be thrown away for this? Raise wages and review the children's future.
Fewer children in the groups give the children greater opportunities to succeed in life. The preschool provides
the basis for lifelong learning."
Preschool teacher	"I really love my job but I don't know how much longer I can take it. The requirements we have on ourselves are
completely unreasonable! To run a well-functioning educational activity at the same time as we have to clean,
wash and wash dishes. We will check that the children's schedule is correct and the number of hours is correct. We
should stock up on paper towels, toilet paper, cleaning agents and take out garbage. We will
both open in the morning and close in the evening.
Every week I have 1 1/5 hours of my own planning time, when I have to come up with all the good ideas
the business is driven forward, prepare development interviews, post documentation online,
print my own documentation that I set up in the department, prepare parent meetings,
enrollments and fill in all the other various papers that have to be filled in without us knowing why.
When someone is sick, we ourselves must be responsible for booking a replacement and if we get someone, it is usually
someone with no training who we are then expected to help and explain to them how our business works
works.
I am a trained preschool teacher to work with the children. To be close to the children in their
learning processes and challenge them in the educational environment, that's what I want! To be the children's
fellow researchers and discoverers are what I'm passionate about! To create an exploratory environment, where we
listens to and sees every child, where the children's influence is obvious, where the children get many
opportunities to express oneself using aesthetic means of expression, where we get opportunities to
regular reflection and further education, that's what I dream of!"
Preschool teacher	"Being alone with 19 children for half a day is not optimal in order to guarantee the children's well-being
security. Even if other departments step in and help each other, everyone's work comes after
the curriculum in a pinch. Preschool teachers plan their teaching activities in a position of dependence on
their colleagues. Teaching children aged 2-6 requires small groups. But there is a lack of staff
and if there is a substitute stop, you can only keep the children and try to make sure that no one gets hurt
one! It will not be a good teaching environment, it will not be a pleasant environment for the children to
distributed to other departments or have staff coming in from different departments. Concern,
stress and not at all from the children's perspective for a good learning environment. We need resources to
be able to have a good teaching environment with a staff density that can at least guarantee
children's safety!"
Preschool teacher	"In recent weeks, a stomach bug and a prolonged fever with a cold have afflicted us
Preschool. The staff working in the most affected departments have almost all been
at home for either one or the other or both. The staff that had to cover up
the days there have also suffered.
As a staff member, you of course help the child who spit up at the preschool, wiping up and cleaning up
to reduce the spread of infection. You cut snotty noses. You are lying next to coughing children at rest.
You do this despite knowing that you are very likely to be infected. It is not one
option to stay away, this is your work environment.
The work we do should reasonably not be rewarded with a grace day. Sick leave with full
compensation from the first day of illness is what would be right. You have performed your work in a correct
way, you have done your best to reduce the spread of infection to more children and colleagues. One
falling ill takes a toll on the body and you are not yourself for several days.
There is a lot of thinking about how the preschool teaching profession can become more attractive in order to get more people to apply
to the profession. But also to get more people not to leave. What is described here is currently a big one
back with the profession. Full compensation from the first sick day can be part of a large job."
Preschool teacher	"Right now as I write this I am crying. Tomorrow I'm going back to work after a few
days off... A job at a preschool in Borås, in a group of 23 loud children, 98% with
other mother tongue, two colleagues, one of whom works 80% due to stress. I don't want to go, my
heart pounding, I'm sweating. I just want to disappear. But right now I have nowhere to go.
With a husband on sick leave, we can't manage financially, so tomorrow I'm going to get up
to be able to open at 5.30. I scream for help. I went to the doctor this morning because I have
a lot of pain in my chest and I feel so incredibly tired. I was given some anti-depressants,
just feel that I can't stand such a life. But I am 50 years old, still have
student loans to pay....What happens to me? Think of us, we need at least as many
vacation days like all other teachers to be able to cope...please ...Help us!"
Preschool teacher	"Just the points you mention in your text about it being understaffed, for large groups of children, fix
and trick/change their and their colleagues' times in order to have a safer environment for the children and
that we colleagues should not be left in the lurch, is correct. Worried parents. No substitutes to be brought in, spring
planning time does not exist. The sick leave is only getting more and more at the preschools, even there
own children go and in their own workplace. As an educator, you want the best for the children and do everything in it
its power that the children should feel safe and have a nice and valuable day at their ""job"". We
need to see and FEEL a big change in the preschool!!"
